# k Pk
2.010605240490559165e-01 4.383493945869749041e+03
2.028806859149402675e-01 4.306211216393980976e+03
2.047173253526089753e-01 4.226786916399050824e+03
2.065705915303183426e-01 4.145761242660818425e+03
2.084406349667161096e-01 4.063753146922988890e+03
2.103276075430661474e-01 3.981434680954869236e+03
2.122316625155836467e-01 3.899503367354947841e+03
2.141529545278825220e-01 3.818653857352911018e+03
2.160916396235355585e-01 3.739550137894753789e+03
2.180478752587476643e-01 3.662799475717064979e+03
2.200218203151439456e-01 3.588929150052733348e+03
2.220136351126740237e-01 3.518366847640097149e+03
2.240234814226330640e-01 3.451425395530368860e+03
2.260515224808004042e-01 3.388292308874603805e+03
2.280979230006968950e-01 3.329024447376438275e+03
2.301628491869629478e-01 3.273547912713223923e+03
2.322464687488574597e-01 3.221663178573145160e+03
2.343489509138787230e-01 3.173055315821535260e+03
2.364704664415084590e-01 3.127309043383037988e+03
2.386111876370807794e-01 3.083928185482131539e+03
2.407712883657767977e-01 3.042358936700416962e+03
2.429509440667452502e-01 3.002016125285304497e+03
2.451503317673512372e-01 2.962311431558017830e+03
2.473696300975541940e-01 2.922682284212070044e+03
2.496090193044161465e-01 2.882619955762054815e+03
2.518686812667406683e-01 2.841695248522796192e+03
2.541487995098446473e-01 2.799580142538247856e+03
2.564495592204639740e-01 2.756063896264183768e+03
2.587711472617943986e-01 2.711062362748468786e+03
2.611137521886677804e-01 2.664619700449746233e+03
2.634775642628660042e-01 2.616902187842635612e+03
2.658627754685740086e-01 2.568184443881182233e+03
2.682695795279724793e-01 2.518828948730458251e+03
2.706981719169712086e-01 2.469260284614403190e+03
2.731487498810854508e-01 2.419935917032770249e+03
2.756215124514555526e-01 2.371315571666579672e+03
2.781166604610125215e-01 2.323831315661056578e+03
2.806343965607887569e-01 2.277860332374233622e+03
2.831749252363769398e-01 2.233702115790706102e+03
2.857384528245380251e-01 2.191561446921441075e+03
2.883251875299597811e-01 2.151538094201007425e+03
2.909353394421668182e-01 2.113623740436587923e+03
2.935691205525828296e-01 2.077706204234229062e+03
2.962267447717488733e-01 2.043580603904736108e+03
2.989084279466967531e-01 2.010966707065063474e+03
3.016143878784796617e-01 1.979531319016890848e+03
3.043448443398609760e-01 1.948914195560994131e+03
3.071000190931642559e-01 1.918755644620448720e+03
3.098801359082846707e-01 1.888723745854151957e+03
3.126854205808626830e-01 1.858539018886199528e+03
3.155161009506225467e-01 1.827994457760235946e+03
3.183724069198772821e-01 1.796969153597797458e+03
3.212545704722012396e-01 1.765434249964203445e+03
3.241628256912709172e-01 1.733450677907064801e+03
3.270974087798766972e-01 1.701158924330176660e+03
3.300585580791066675e-01 1.668761896651204779e+03
3.330465140877051367e-01 1.636502650040758681e+03
3.360615194816045648e-01 1.604639247140802581e+03
3.391038191336353536e-01 1.573419263004065897e+03
3.421736601334138816e-01 1.543056411453907231e+03
3.452712918074112847e-01 1.513711475679843488e+03
3.483969657392028130e-01 1.485479228717894330e+03
3.515509357899005427e-01 1.458382396441452101e+03
3.547334581187718827e-01 1.432373014832978242e+03
3.579447912040447655e-01 1.407340823860499313e+03
3.611851958639001881e-01 1.383127671751110483e+03
3.644549352776552120e-01 1.359546320837914209e+03
3.677542750071380873e-01 1.336401596563335033e+03
3.710834830182571098e-01 1.313511556175501482e+03
3.744428297027637687e-01 1.290726323310344469e+03
3.778325879002133458e-01 1.267942474063445843e+03
3.812530329201245238e-01 1.245111372142747996e+03
3.847044425643399435e-01 1.222240592620637926e+03
3.881870971495884337e-01 1.199388455256092357e+03
3.917012795302512451e-01 1.176652583122518308e+03
3.952472751213354507e-01 1.154154172581374269e+03
3.988253719216550142e-01 1.132020186569766565e+03
4.024358605372214681e-01 1.110365887937965226e+03
4.060790342048454793e-01 1.089279992955542184e+03
4.097551888159536304e-01 1.068814282096421721e+03
4.134646229406206408e-01 1.048978832734282150e+03
4.172076378518179696e-01 1.029743236765263418e+03
4.209845375498824649e-01 1.011043342499803543e+03
4.247956287872068359e-01 9.927923172714394013e+02
4.286412210931542233e-01 9.748942576197848666e+02
4.325216267991967567e-01 9.572582544724276659e+02
4.364371610642823751e-01 9.398108039928331436e+02
4.403881419004318509e-01 9.225047563226684133e+02
4.443748901985672406e-01 9.053235809725613308e+02
4.483977297545739260e-01 8.882805122598666685e+02
4.524569872955980232e-01 8.714129898459759715e+02
4.565529925065830996e-01 8.547735765669132206e+02
4.606860780570468106e-01 8.384190792002631269e+02
4.648565796280994533e-01 8.223998221792933236e+02
4.690648359397066591e-01 8.067508980604619637e+02
4.733111887782002203e-01 7.914867776611009731e+02
4.775959830240374404e-01 7.765999986047189623e+02
4.819195666798116728e-01 7.620638893098315521e+02
4.862822908985155457e-01 7.478385629042122673e+02
4.906845100120614256e-01 7.338788582155598306e+02
4.951265815600602305e-01 7.201426098016029300e+02
4.996088663188595902e-01 7.065976477595309007e+02
5.041317283308447417e-01 6.932262555208740196e+02
5.086955349340058774e-01 6.800263835984471825e+02
5.133006567917731688e-01 6.670096105429787485e+02
5.179474679231209633e-01 6.541965113223239996e+02
5.226363457329440410e-01 6.416105946558377582e+02
5.273676710427105396e-01 6.292722004207078044e+02
5.321418281213915469e-01 6.171936659754485390e+02
5.369592047166710236e-01 6.053767076151679021e+02
5.418201920864363919e-01 5.938124130916811509e+02
5.467251850305570038e-01 5.824836333916575768e+02
5.516745819229490477e-01 5.713690345341991588e+02
5.566687847439306669e-01 5.604477387293577522e+02
5.617081991128690666e-01 5.497034179084287189e+02
5.667932343211246060e-01 5.391269083102242803e+02
5.719243033652935404e-01 5.287168345486021508e+02
5.771018229807501898e-01 5.184782553805569023e+02
5.823262136754925322e-01 5.084198363668141383e+02
5.875978997642956614e-01 4.985503924356266907e+02
5.929173094031748859e-01 4.888757455288333063e+02
5.982848746241582472e-01 4.793966931865013521e+02
6.037010313703755626e-01 4.701085341885219577e+02
6.091662195314651029e-01 4.610021492013966053e+02
6.146808829793009021e-01 4.520662119907476608e+02
6.202454696040431426e-01 4.432898233510823047e+02
6.258604313505138350e-01 4.346647879515059572e+02
6.315262242549037897e-01 4.261869063799508695e+02
6.372433084818114324e-01 4.178559799651542335e+02
6.430121483616157985e-01 4.096746244323208543e+02
6.488332124281882551e-01 4.016463399966743282e+02
6.547069734569459509e-01 3.937734859552612079e+02
6.606339085032510994e-01 3.860558006546333445e+02
6.666144989411550981e-01 3.784899010121040988e+02
6.726492305024945884e-01 3.710698594030084791e+02
6.787385933163421203e-01 3.637885994751044336e+02
6.848830819488141985e-01 3.566395919399201944e+02
6.910831954432385960e-01 3.496182515021966424e+02
6.973394373606841556e-01 3.427225625846219828e+02
7.036523158208606299e-01 3.359527503185843784e+02
7.100223435433875574e-01 3.293101627984898983e+02
7.164500378894352872e-01 3.227958151791615933e+02
7.229359209037438116e-01 3.164091607027211808e+02
7.294805193570227386e-01 3.101475534979200575e+02
7.360843647887351793e-01 3.040065885089300082e+02
7.427479935502681041e-01 2.979811513614789078e+02
7.494719468484921654e-01 2.920667247041470205e+02
7.562567707897189795e-01 2.862603963637375841e+02
7.631030164240552027e-01 2.805611463280818612e+02
7.700112397901571759e-01 2.749693051322335009e+02
7.769820019603900230e-01 2.694854435049152812e+02
7.840158690863985314e-01 2.641092092746668527e+02
7.911134124450888150e-01 2.588386511626956690e+02
7.982752084850257557e-01 2.536703402787851758e+02
8.055018388732506640e-01 2.486002179275810704e+02
8.127938905425231564e-01 2.436247423672640764e+02
8.201519557389922443e-01 2.387417555639990496e+02
8.275766320702960810e-01 2.339506300062072341e+02
8.350685225540980250e-01 2.292516266449824229e+02
8.426282356670630191e-01 2.246448125007734973e+02
8.502563853942780581e-01 2.201291273220241465e+02
8.579535912791176333e-01 2.157021122211413626e+02
8.657204784735614833e-01 2.113604473314111090e+02
8.735576777889684230e-01 2.071009851320424104e+02
8.814658257473112490e-01 2.029216741921230778e+02
8.894455646328721654e-01 1.988218258888479113e+02
8.974975425444075006e-01 1.948015665555695648e+02
9.056224134477857124e-01 1.908608160753956895e+02
9.138208372291021231e-01 1.869984342699314084e+02
9.220934797482726042e-01 1.832120775574823881e+02
9.304410128931126511e-01 1.794988550770061124e+02
9.388641146339076204e-01 1.758563475889117171e+02
9.473634690784771273e-01 1.722833034740521612e+02
9.559397665277358236e-01 1.687795377998104982e+02
9.645937035317577735e-01 1.653451079906369614e+02
9.733259829463493107e-01 1.619793517800637517e+02
9.821373139901349303e-01 1.586804793939110709e+02
9.910284123021574354e-01 1.554460152586698882e+02
1.000000000000000000e+00 1.522737564331636406e+02
